poblacion,fecha,hora,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud
Amorebieta-Etxano,2007-12-16,21:04:36,Blanco,A-8,97,93,IRUN,-2.72596,43.2192
Amorebieta-Etxano,2007-12-16,21:03:34,Blanco,A-8,93,97,CANTABRIA,-2.69229,43.19591
Amorebieta-Etxano,2007-12-14,21:49:55,Amarillo,A-8,97,94,IRUN,-2.72596,43.2192
Amorebieta-Etxano,2007-12-14,21:48:25,Amarillo,A-8,94,97,CANTABRIA,-2.69917,43.20269
Amorebieta-Etxano,2007-12-14,21:48:25,Amarillo,A-8,94,97,CANTABRIA,-2.69917,43.20269
Abadio,2007-02-14,09:31:51,Blanco,BI-3323,31,31,ABADIO,-2.61036,43.16851
Iurreta,2007-12-14,09:19:34,Blanco,N-634,79,79,DONOSTIA/SAN SEBASTIN,-2.610098,43.17115
Galdakao,2007-12-14,09:07:18,Blanco,N-634,100,100,DONOSTIA/SAN SEBASTIN,-2.828036,43.23189
,2007-12-14,09:07:18,Blanco,N-634,100,100,DONOSTIA/SAN SEBASTIN,-2.828036,43.23189
,2007-12-14,00:04:20,Blanco,AP-68,20,20,ZARAGOZA,-2.91544,43.08666
,2007-12-14,02:04:10,Blanco,A-8,119,119,CANTABRIA,-2.96142,43.26417
Bilbao,2007-12-14,02:05:06,Blanco,A-8,119,119,IRUN,-2.96165,43.26411
,2007-12-14,02:05:06,Blanco,A-8,119,119,IRUN,-2.96165,43.26411
,2007-12-14,02:04:10,Blanco,A-8,119,119,CANTABRIA,-2.96142,43.26417
,2007-12-14,00:41:36,Blanco,BI-637,8,8,KUKULARRA,-2.96382,43.30131
,2007-12-14,00:04:20,Blanco,AP-68,14,14,ZARAGOZA,-2.932773,43.13461
Orozko,2007-12-14,00:04:20,Blanco,AP-68,22,22,ZARAGOZA,-2.924322,43.0709
Basauri,2007-12-13,22:49:53,Blanco,A-8,113,111,IRUN,-2.90804,43.23352
,2007-12-13,22:49:24,Blanco,A-8,111,113,CANTABRIA,-2.883459,43.231
Amorebieta-Etxano,2007-12-13,21:35:49,Amarillo,A-8,97,94,IRUN,-2.72596,43.2192
Amorebieta-Etxano,2007-12-13,21:35:08,Amarillo,A-8,94,97,CANTABRIA,-2.69917,43.20269
Bilbao,2007-12-13,11:25:46,Blanco,BI-636,4,4,CADAGUA,-2.964667,43.26813
"Etxebarri, Ant S. Esteban-Etxebarri D. E.",2007-12-13,09:27:49,Blanco,N-634,106,106,SANTANDER,-2.889185,43.24773
Durango,2007-12-13,09:10:29,Blanco,BI-623,28,28,DURANGO,-2.64386,43.17552
,2007-12-12,23:29:56,Blanco,N-637,10,10,Barakaldo,-2.973928,43.29555
Basauri,2007-12-12,23:03:28,Blanco,A-8,113,111,IRUN,-2.90804,43.23352
Basauri,2007-12-12,23:02:30,Blanco,A-8,111,113,CANTABRIA,-2.883459,43.231
Zaldibar,2007-12-12,22:49:54,Blanco,A-8,79,78,IRUN,-2.53494,43.17128
Zaldibar,2007-12-12,22:49:09,Blanco,A-8,78,79,CANTABRIA,-2.52557,43.17716
,2007-12-12,21:09:11,Amarillo,A-8,94,97,CANTABRIA,-2.69917,43.20269
,2007-12-12,21:08:07,Amarillo,A-8,97,94,IRUN,-2.72596,43.2192
,2007-12-12,21:09:11,Amarillo,A-8,94,97,CANTABRIA,-2.69917,43.20269
,2007-12-12,21:09:11,Amarillo,A-8,94,97,CANTABRIA,-2.69917,43.20269
,2007-12-12,21:09:11,Amarillo,A-8,94,97,CANTABRIA,-2.69917,43.20269
,2007-12-12,21:08:07,Amarillo,A-8,97,94,IRUN,-2.72596,43.2192
Orozko,2007-12-12,09:00:17,Blanco,AP-68,21,21,ZARAGOZA,-2.917043,43.07817
,2007-12-12,09:00:17,Blanco,AP-68,21,21,ZARAGOZA,-2.917043,43.07817
Galdakao,2007-12-12,09:33:26,Blanco,N-634,103,104,SANTANDER,-2.861065,43.23255
Urdua-Ordua,2007-12-12,09:31:29,Blanco,BI-2521,44,44,ORDUA,-2.9742,42.99018
Orozko,2007-12-12,09:00:17,Blanco,AP-68,16,16,ZARAGOZA,-2.916557,43.12165
Orozko,2007-12-12,08:31:07,Blanco,AP-68,21,21,BILBAO,-2.91702,43.07784
Zaldibar,2007-12-11,22:49:31,Blanco,A-8,79,79,IRUN,-2.53494,43.17128
Zaldibar,2007-12-11,22:48:22,Blanco,A-8,78,78,CANTABRIA,-2.52557,43.17716
Muskiz,2007-12-11,09:27:22,Blanco,A-8,139,139,IRUN,-3.1511,43.34147
Galdakao,2007-12-11,20:58:52,Amarillo,A-8,97,94,IRUN,-2.72596,43.2192
Galdakao,2007-12-11,20:58:52,Amarillo,A-8,97,94,IRUN,-2.72596,43.2192
