poblacion,fecha,hora,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud
Galdakao,2006-12-14,23:06:42,Blanco,N-634,111,111,DONOSTIA/SAN SEBASTIN,-2.92438,43.26986
Larrabetzu,2006-12-14,22:42:57,Blanco,N-637,28,28,ERLETXE ( por PTE. RONTEGI),-2.80231,43.23901
Galdakao,2006-12-14,22:44:59,Blanco,A-8,106,106,CANTABRIA,-2.82662,43.23
Larrabetzu,2006-12-14,22:42:57,Blanco,N-637,28,28,ERLETXE ( por PTE. RONTEGI),-2.80231,43.23901
Bilbao,2006-12-14,22:06:18,Blanco,N-634,111,111,SANTANDER,-2.92438,43.26986
,2006-12-14,21:33:35,Blanco,N-634,112,112,DONOSTIA/SAN SEBASTIN,-2.93494,43.26731
Bilbao,2006-12-14,21:13:05,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
Alonsotegi,2006-12-14,10:53:27,Blanco,BI-636,10,10,BILBAO,-3.004337,43.23591
,2006-12-14,09:05:50,Blanco,BI-631,15,15,Bermeo,-2.8696,43.33172
,2006-12-14,09:05:50,Blanco,BI-631,15,15,Bermeo,-2.8696,43.33172
Barakaldo,2006-12-13,23:23:09,Blanco,A-8,124,123,IRUN,-3.005,43.28859
Galdakao,2006-12-13,22:07:48,Blanco,A-8,106,106,CANTABRIA,-2.82662,43.23
Bilbao,2006-12-13,21:55:20,Blanco,N-634,103,103,SANTANDER,-2.861065,43.23255
Basauri,2006-12-13,21:17:55,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
,2006-12-13,21:17:55,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
Galdakao,2006-12-13,22:07:48,Blanco,A-8,106,106,CANTABRIA,-2.82662,43.23
Galdakao,2006-12-13,22:05:33,Blanco,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767
Bilbao,2006-12-13,21:55:20,Blanco,N-634,103,103,SANTANDER,-2.861065,43.23255
,2006-12-13,21:17:55,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
